Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,totalSeasons,Error,code,message,data
Season of the Witch,2011,PG-13,07 Jan 2011,95 min,"Action, Adventure, Fantasy",Dominic Sena,Bragi F. Schut,"Nicolas Cage, Ron Perlman, Claire Foy","14th-century knights transport a suspected witch to a monastery, where monks deduce that her powers could be the source of the Black Plague.","English, Latin",United States,https://m.media-amazon.com/images/M/MV5BMzc3MjYxNzg2N15BMl5BanBnXkFtZTcwNzQyMTkwNA@@._V1_SX300.jpg,,,,,
Our Idiot Brother,2011,R,26 Aug 2011,90 min,"Comedy, Drama",Jesse Peretz,"Jesse Peretz, Evgenia Peretz, David Schisgall","Paul Rudd, Elizabeth Banks, Zooey Deschanel",A comedy centered on an idealist who barges into the lives of his three sisters.,English,United States,https://m.media-amazon.com/images/M/MV5BMTU3NjM3Mzg0Ml5BMl5BanBnXkFtZTcwOTk4MDI3NQ@@._V1_SX300.jpg,,,,,
Don't Be Afraid of the Dark,2010,R,26 Aug 2011,99 min,"Fantasy, Horror, Thriller",Troy Nixey,"Guillermo del Toro, Matthew Robbins, Nigel McKeand","Katie Holmes, Guy Pearce, Bailee Madison",A young girl sent to live with her father and his new girlfriend believes that she has released creatures from a sealed ash pit in the basement of her new home.,English,"United States, Australia, Mexico",https://m.media-amazon.com/images/M/MV5BMTYwMDk4ODU0OV5BMl5BanBnXkFtZTcwMDY2NDE0Ng@@._V1_SX300.jpg,,,,,
Sanctum,2011,R,04 Feb 2011,108 min,"Action, Adventure, Drama",Alister Grierson,"John Garvin, Andrew Wight","Rhys Wakefield, Allison Cratchley, Christopher James Baker",An underwater cave diving team experiences a life-threatening crisis during an expedition to the unexplored and least accessible cave system in the world.,English,"United States, Australia",https://m.media-amazon.com/images/M/MV5BMTM4MjY1NTEyNV5BMl5BanBnXkFtZTcwMTc3MjcxNA@@._V1_SX300.jpg,,,,,
Monte Carlo,2011,PG,01 Jul 2011,109 min,"Adventure, Comedy, Family",Thomas Bezucha,"Thomas Bezucha, April Blair, Maria Maggenti","Selena Gomez, Leighton Meester, Katie Cassidy",Three young women vacationing in Paris find themselves whisked away to Monte Carlo after one of the girls is mistaken for a British heiress.,English,United States,https://m.media-amazon.com/images/M/MV5BMjE4NjM3NjI1Nl5BMl5BanBnXkFtZTcwNjA5MzY1NQ@@._V1_SX300.jpg,,,,,
Your Highness,2011,R,08 Apr 2011,102 min,"Action, Adventure, Comedy",David Gordon Green,"Danny McBride, Ben Best","Danny McBride, Natalie Portman, James Franco","When Prince Fabious's bride is kidnapped, he goes on a quest to rescue her... accompanied by his lazy useless brother Thadeous.",English,United States,https://m.media-amazon.com/images/M/MV5BMTY2MDgwODIyMV5BMl5BanBnXkFtZTcwODc1NDQ0NA@@._V1_SX300.jpg,,,,,
Mars Needs Moms,2011,PG,11 Mar 2011,88 min,"Animation, Action, Adventure",Simon Wells,"Simon Wells, Wendy Wells, Berkeley Breathed","Seth Green, Joan Cusack, Dan Fogler",A young boy named Milo gains a deeper appreciation for his mom after Martians come to Earth to take her away.,English,United States,https://m.media-amazon.com/images/M/MV5BOTA0MTQ2Mzc3N15BMl5BanBnXkFtZTcwNzA4ODAwNA@@._V1_SX300.jpg,,,,,
Dream House,2011,PG-13,30 Sep 2011,92 min,"Drama, Mystery, Thriller",Jim Sheridan,David Loucka,"Daniel Craig, Rachel Weisz, Naomi Watts","Soon after moving into their seemingly idyllic new home, a family learns of a brutal crime committed against former residents of the dwelling.",English,"United States, Canada",https://m.media-amazon.com/images/M/MV5BOTMwYmU5ZjEtZmM3ZC00N2Q3LWIzMWUtODVhODE4Nzc4YzhkXkEyXkFqcGdeQXVyMTExNzQ3MzAw._V1_SX300.jpg,,,,,
Conan the Barbarian,1982,R,14 May 1982,129 min,"Action, Adventure, Fantasy",John Milius,"Robert E. Howard, John Milius, Oliver Stone","Arnold Schwarzenegger, James Earl Jones, Max von Sydow","A young boy, Conan, becomes a slave after his parents are killed and tribe destroyed by a savage warlord and sorcerer, Thulsa Doom. When he grows up he becomes a fearless, invincible fighter. Set free, he plots revenge against Thu...",English,"United States, Mexico",https://m.media-amazon.com/images/M/MV5BMWYwZGU1N2UtNTU5My00ZTVkLThjZDktZTQzZmEyMzZjMTdmXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,,,,,
The Three Musketeers,2011,PG-13,21 Oct 2011,110 min,"Action, Adventure, Fantasy",Paul W.S. Anderson,"Alex Litvak, Andrew Davies, Alexandre Dumas","Logan Lerman, Matthew Macfadyen, Ray Stevenson",The hot-headed young D'Artagnan along with three former legendary but now down-on-their-luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe...,English,"United States, Germany, France, United Kingdom",https://m.media-amazon.com/images/M/MV5BMTM3OTc2OTM2OF5BMl5BanBnXkFtZTcwMDM1MjU1NQ@@._V1_SX300.jpg,,,,,
Country Strong,2010,PG-13,07 Jan 2011,117 min,"Drama, Music",Shana Feste,Shana Feste,"Garrett Hedlund, Gwyneth Paltrow, Leighton Meester","A rising country-music songwriter works with a fallen star to work their way to fame, causing romantic complications along the way.",English,United States,https://m.media-amazon.com/images/M/MV5BMGY5MWJhM2UtZmNiMi00MTgyLThhYjMtYTE4ZDU1NThhOWZhXkEyXkFqcGdeQXVyNzYxNjU1ODQ@._V1_SX300.jpg,,,,,
The Eagle,2011,PG-13,11 Feb 2011,114 min,"Action, Adventure, Drama",Kevin Macdonald,"Jeremy Brock, Rosemary Sutcliff","Channing Tatum, Jamie Bell, Donald Sutherland","In Roman-ruled Britain, a young Roman soldier endeavors to honor his father's memory by finding his lost legion's golden emblem.","English, Gaelic","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMTY1MjYwNTQ4Ml5BMl5BanBnXkFtZTcwMjYwNzAxNA@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
Fright Night,2011,R,19 Aug 2011,106 min,"Comedy, Horror",Craig Gillespie,"Marti Noxon, Tom Holland","Anton Yelchin, Colin Farrell, David Tennant","When a nice new neighbor moves in next door, Charley discovers that he is an ancient vampire who preys on the community. Can he save his neighborhood from the creature with the help of the famous ""vampire killer"", Peter Vincent?","English, Ukrainian","United States, India",https://m.media-amazon.com/images/M/MV5BMTU2MDc0NDY0M15BMl5BanBnXkFtZTcwOTgzMTYyNQ@@._V1_SX300.jpg,,,,,
Apollo 18,2011,PG-13,02 Sep 2011,86 min,"Horror, Mystery, Sci-Fi",Gonzalo López-Gallego,"Brian Miller, Cory Goodman","Warren Christie, Lloyd Owen, Ryan Robbins","Decades-old found footage from NASA's abandoned Apollo 18 mission, where three American astronauts were sent on a secret expedition, reveals the reason the U.S. has never returned to the moon.",English,"United States, Canada",https://m.media-amazon.com/images/M/MV5BMTk5MTk3OTk3OV5BMl5BanBnXkFtZTcwMzg4MzgxNg@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
The Thing,1982,R,25 Jun 1982,109 min,"Horror, Mystery, Sci-Fi",John Carpenter,"Bill Lancaster, John W. Campbell Jr.","Kurt Russell, Wilford Brimley, Keith David",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"English, Norwegian","United States, Canada",https://m.media-amazon.com/images/M/MV5BNGViZWZmM2EtNGYzZi00ZDAyLTk3ODMtNzIyZTBjN2Y1NmM1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,,,,,
African Cats,2011,G,22 Apr 2011,89 min,"Documentary, Adventure","Keith Scholey, Alastair Fothergill","Keith Scholey, John Truby, Owen Newman","Samuel L. Jackson, Patrick Stewart","Meet Mara, an endearing lion cub striving to be like her mother; Sita, a cheetah and single mother of five; and Fang, a proud leader of the pride who must defend his family from a rival lion.",English,United States,https://m.media-amazon.com/images/M/MV5BMTYxOTQ3MjM5OV5BMl5BanBnXkFtZTcwMDYzMjAyNA@@._V1_SX300.jpg,,,,,
Gulliver's Travels,2010,PG,25 Dec 2010,85 min,"Adventure, Comedy, Family",Rob Letterman,"Joe Stillman, Nicholas Stoller, Jonathan Swift","Jack Black, Emily Blunt, Jason Segel","Travel writer Lemuel Gulliver takes an assignment in Bermuda but ends up on the island of Lilliput, where he towers over its tiny citizens.",English,United States,https://m.media-amazon.com/images/M/MV5BMjI1NDU1MjcxN15BMl5BanBnXkFtZTcwODczNTM1Mw@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
,,,,,,,,,,,,,,Movie not found!,,,
What's Your Number?,2011,R,30 Sep 2011,106 min,"Comedy, Romance",Mark Mylod,"Karyn Bosnak, Gabrielle Allan, Jennifer Crittenden","Anna Faris, Chris Evans, Ari Graynor",A woman looks back at the past nineteen men she's had relationships with in her life and wonders if one of them might be her one true love.,English,United States,https://m.media-amazon.com/images/M/MV5BMjIzNTc2MTgwNV5BMl5BanBnXkFtZTcwMzYzMzgxNQ@@._V1_SX300.jpg,,,,,
One Day,2011,PG-13,19 Aug 2011,107 min,"Drama, Romance",Lone Scherfig,David Nicholls,"Anne Hathaway, Jim Sturgess, Patricia Clarkson","After spending the night together on the night of their college graduation Dexter and Emma are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day.",English,"United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BMTQ3NTg2MDI3NF5BMl5BanBnXkFtZTcwMjc5MTA1NA@@._V1_SX300.jpg,,,,,
Warrior,2011,PG-13,09 Sep 2011,140 min,"Action, Drama, Sport",Gavin O'Connor,"Gavin O'Connor, Anthony Tambakis, Cliff Dorfman","Tom Hardy, Nick Nolte, Joel Edgerton","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BMTk4ODk5MTMyNV5BMl5BanBnXkFtZTcwMDMyNTg0Ng@@._V1_SX300.jpg,,,,,
The Tree of Life,2011,PG-13,17 May 2011,139 min,"Drama, Fantasy",Terrence Malick,Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain","The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.",English,United States,https://m.media-amazon.com/images/M/MV5BMTMwNjQ0NjMzN15BMl5BanBnXkFtZTcwNjMxMTkyNA@@._V1_SX300.jpg,,,,,
The Darkest Hour,2011,PG-13,25 Dec 2011,89 min,"Action, Adventure, Horror",Chris Gorak,"Jon Spaihts, Leslie Bohem, M.T. Ahern","Emile Hirsch, Olivia Thirlby, Max Minghella","In Moscow, five young people lead the charge against an alien race who have attacked Earth via our power supply.","English, Russian","Russia, United States",https://m.media-amazon.com/images/M/MV5BMzZjNGNjZDEtMWMxOC00YTM4LTg4ZWMtOTgxZjY1NWRlM2Y4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,,,,,
The Rum Diary,2011,R,28 Oct 2011,119 min,"Comedy, Drama",Bruce Robinson,"Bruce Robinson, Hunter S. Thompson","Johnny Depp, Giovanni Ribisi, Aaron Eckhart",American journalist Paul Kemp takes on a freelance job in Puerto Rico for a local newspaper during the 1960s and struggles to find a balance between island culture and the expatriates who live there.,"English, Spanish, German","United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BMTM5ODA4MjYxM15BMl5BanBnXkFtZTcwMTM3NTE5Ng@@._V1_SX300.jpg,,,,,
The Tourist,2010,PG-13,10 Dec 2010,103 min,"Action, Thriller",Florian Henckel von Donnersmarck,"Florian Henckel von Donnersmarck, Christopher McQuarrie, Julian Fellowes","Johnny Depp, Angelina Jolie, Paul Bettany","Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.","English, French, Italian, Russian, Spanish","United States, France, Italy, United Kingdom",https://m.media-amazon.com/images/M/MV5BMTMyMzc3OTkwMV5BMl5BanBnXkFtZTcwMjc0MTgwNA@@._V1_SX300.jpg,,,,,
Young Adult,2011,R,16 Dec 2011,94 min,"Comedy, Drama",Jason Reitman,Diablo Cody,"Charlize Theron, Patrick Wilson, Patton Oswalt","Soon after her divorce, a fiction writer returns to her home in small-town Minnesota, looking to rekindle a romance with her ex-boyfriend, who is now happily married and has a newborn daughter.",English,United States,https://m.media-amazon.com/images/M/MV5BMTc4NzgyMjQwMV5BMl5BanBnXkFtZTcwNjMxODcwNw@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
Glee: The 3D Concert Movie,2011,PG,12 Aug 2011,84 min,"Documentary, Music","Kevin Tancharoen, Jennifer Arnold","Ian Brennan, Brad Falchuk, Ryan Murphy","Cory Monteith, Dianna Agron, Lea Michele","A concert documentary shot during the Glee Live! In Concert! summer 2011 tour, featuring song performances and Glee fans' life stories and how the show influenced them.",English,United States,https://m.media-amazon.com/images/M/MV5BMTg0MjI0NjM2OF5BMl5BanBnXkFtZTcwMzYxNzcyNg@@._V1_SX300.jpg,,,,,
The Conspirator,2010,PG-13,15 Apr 2011,122 min,"Crime, Drama, History",Robert Redford,"James D. Solomon, Gregory Bernstein","Robin Wright, James McAvoy, Tom Wilkinson","Mary Surratt is the lone female charged as a co-conspirator in the assassination trial of Abraham Lincoln. As the whole nation turns against her, she is forced to rely on her reluctant lawyer to uncover the truth and save her life.","English, Latin",United States,https://m.media-amazon.com/images/M/MV5BMTczMDI0MzQ3MV5BMl5BanBnXkFtZTcwMjU5NTc0NA@@._V1_SX300.jpg,,,,,
Jane Eyre,2011,PG-13,22 Apr 2011,120 min,"Drama, Romance",Cary Joji Fukunaga,"Moira Buffini, Charlotte Brontë","Mia Wasikowska, Michael Fassbender, Jamie Bell",A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.,"English, French","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BNjU0Mjc0NzU3NF5BMl5BanBnXkFtZTcwMTU4OTkwNA@@._V1_SX300.jpg,,,,,
Drive Angry,2011,R,25 Feb 2011,104 min,"Action, Fantasy, Thriller",Patrick Lussier,"Todd Farmer, Patrick Lussier","Nicolas Cage, Amber Heard, William Fichtner",A vengeful father escapes from hell and chases after the men who killed his daughter and kidnapped his granddaughter.,English,United States,https://m.media-amazon.com/images/M/MV5BMjIwNTM4Njg2NF5BMl5BanBnXkFtZTcwNDQwMTAwNA@@._V1_SX300.jpg,,,,,
Straw Dogs,1971,R,22 Dec 1971,113 min,"Crime, Drama, Thriller",Sam Peckinpah,"David Zelag Goodman, Sam Peckinpah, Gordon Williams","Dustin Hoffman, Susan George, Peter Vaughan",A young American and his English wife come to rural England and face increasingly vicious local harassment.,English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BNDBiZGJmY2EtZTNhYi00NTM2LWE2NjQtZTAyN2RlNDM4NjEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Win Win,2011,R,15 Apr 2011,106 min,"Comedy, Drama, Sport",Tom McCarthy,"Tom McCarthy, Joe Tiboni","Paul Giamatti, Amy Ryan, Jeffrey Tambor",A struggling lawyer and volunteer wrestling coach's chicanery comes back to haunt him when the teenage grandson of the client he has double-crossed comes into his life.,English,N/A,https://m.media-amazon.com/images/M/MV5BMTczNTgzNjY4OF5BMl5BanBnXkFtZTcwMTcwMjI0NA@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
Prom,2011,PG,29 Apr 2011,104 min,"Comedy, Drama, Family",Joe Nussbaum,Katie Wech,"Aimee Teegarden, Thomas McDonell, DeVaughn Nixon",A group of teenagers get ready for their high school prom.,English,United States,https://m.media-amazon.com/images/M/MV5BMTQyNDcyODI2NV5BMl5BanBnXkFtZTcwMTA3NTAzNA@@._V1_SX300.jpg,,,,,
Hubble 3D: Deep Space,2015,N/A,30 Sep 2015,N/A,"Short, Sci-Fi",N/A,N/A,N/A,N/A,English,Portugal,https://m.media-amazon.com/images/M/MV5BNDNjYjJlNDUtYTZmOC00MGFlLWI5YWQtNzJkYjRlZGIxZDFkXkEyXkFqcGdeQXVyMjUyMDgyMDA@._V1_SX300.jpg,,,,,
I Don't Know How She Does It,2011,PG-13,16 Sep 2011,89 min,"Comedy, Romance",Douglas McGrath,"Aline Brosh McKenna, Allison Pearson","Sarah Jessica Parker, Pierce Brosnan, Kelsey Grammer","A comedy centered on the life of Kate Reddy, a finance executive who is the breadwinner for her husband and two kids.",English,United States,https://m.media-amazon.com/images/M/MV5BMzUyNDY1Mzk0NV5BMl5BanBnXkFtZTcwNDQwODg2Ng@@._V1_SX300.jpg,,,,,
Blue Valentine,2010,R,28 Jan 2011,112 min,"Drama, Romance",Derek Cianfrance,"Derek Cianfrance, Joey Curtis, Cami Delavigne","Ryan Gosling, Michelle Williams, John Doman","The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.",English,United States,https://m.media-amazon.com/images/M/MV5BMTU4MTQ2MzA1Ml5BMl5BanBnXkFtZTcwODE3NTgwNA@@._V1_SX300.jpg,,,,,
My Week with Marilyn,2011,R,23 Dec 2011,99 min,"Biography, Drama",Simon Curtis,"Adrian Hodges, Colin Clark","Michelle Williams, Eddie Redmayne, Kenneth Branagh","Colin Clark, an employee of Sir Laurence Olivier, documents the tense interaction between Olivier and Marilyn Monroe during the production of The Prince and the Showgirl (1957).","English, French","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMTYzODYwOTIzOV5BMl5BanBnXkFtZTcwODE2NjAwNw@@._V1_SX300.jpg,,,,,
Johnny English Reborn,2011,PG,21 Oct 2011,101 min,"Action, Adventure, Comedy",Oliver Parker,"Hamish McColl, Will Davies, Neal Purvis","Rowan Atkinson, Rosamund Pike, Dominic West",Johnny English goes up against international assassins hunting down Chinese Premier Xiang Ping.,"English, Mandarin, Swiss German, Cantonese, Russian","United Kingdom, France, United States",https://m.media-amazon.com/images/M/MV5BMjEzODY2MjU1Nl5BMl5BanBnXkFtZTcwMzc1ODUzNg@@._V1_SX300.jpg,,,,,
127 Hours,2010,R,28 Jan 2011,94 min,"Biography, Drama",Danny Boyle,"Danny Boyle, Simon Beaufoy, Aron Ralston","James Franco, Amber Tamblyn, Kate Mara","A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.","English, Italian","United States, United Kingdom, France",https://m.media-amazon.com/images/M/MV5BMTc2NjMzOTE3Ml5BMl5BanBnXkFtZTcwMDE0OTc5Mw@@._V1_SX300.jpg,,,,,
Kevin Hart: Laugh at My Pain,2011,R,27 Apr 2012,89 min,"Documentary, Comedy","Leslie Small, Tim Story","Kevin Hart, Na'im Lynn, Joey Wells","Kevin Hart, Taraji P. Henson, Will 'Spank' Horton","Experience the show that quickly became a national phenomenon, and get an up close and personal look at Kevin Hart back in Philly, where he began his journey to become one of the funniest comedians of all time. You will laugh 'til...",English,United States,https://m.media-amazon.com/images/M/MV5BMjI4NjA5NTI0OV5BMl5BanBnXkFtZTcwMTU0MzI1Ng@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
Barney's Version,2010,R,18 Feb 2011,134 min,"Comedy, Drama",Richard J. Lewis,"Mordecai Richler, Michael Konyves","Paul Giamatti, Rosamund Pike, Jake Hoffman","The picaresque and touching story of the politically incorrect, fully lived life of the impulsive, irascible and fearlessly blunt Barney Panofsky.","English, French","Italy, Canada",https://m.media-amazon.com/images/M/MV5BMTM4MTUwNDg0OF5BMl5BanBnXkFtZTcwMjUyODYxNA@@._V1_SX300.jpg,,,,,
The Big Year,2011,PG,14 Oct 2011,100 min,Comedy,David Frankel,"Howard Franklin, Mark Obmascik","Owen Wilson, Jack Black, Steve Martin","Two bird enthusiasts try to defeat the cocky, cutthroat world record holder in a year-long bird-spotting competition.",English,United States,https://m.media-amazon.com/images/M/MV5BMTc0MzcwMDcyOV5BMl5BanBnXkFtZTcwNTUwMjk1Ng@@._V1_SX300.jpg,,,,,
Take Me Home Tonight,2011,R,04 Mar 2011,97 min,"Comedy, Drama, Romance",Michael Dowse,"Jackie Filgo, Jeff Filgo, Topher Grace","Topher Grace, Anna Faris, Dan Fogler","Four years after graduation, an awkward high school genius uses his sister's boyfriend's Labor Day party as the perfect opportunity to make his move on his high school crush.",English,"United States, Germany",https://m.media-amazon.com/images/M/MV5BNjc2OTg5NTM1NV5BMl5BanBnXkFtZTcwODM3MTMyNA@@._V1_SX300.jpg,,,,,
Cedar Rapids,2011,R,18 Mar 2011,87 min,Comedy,Miguel Arteta,Phil Johnston,"Ed Helms, John C. Reilly, Anne Heche","Tim Lippe has no idea what he's in for when he's sent to Cedar Rapids, Iowa to represent his company at an annual insurance convention, where he soon finds himself under the ""guidance"" of three convention veterans.",English,United States,https://m.media-amazon.com/images/M/MV5BNDUwMjQ3MzQwM15BMl5BanBnXkFtZTcwMDAzNjUyNA@@._V1_SX300.jpg,,,,,
Incendies,2010,R,12 Jan 2011,131 min,"Drama, Mystery",Denis Villeneuve,"Denis Villeneuve, Wajdi Mouawad, Valérie Beaugrand-Champagne","Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"French, Arabic, English","Canada, France",https://m.media-amazon.com/images/M/MV5BMWE3MGYzZjktY2Q5Mi00Y2NiLWIyYWUtMmIyNzA3YmZlMGFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,,,,
Beginners,2010,R,09 Jun 2011,105 min,"Comedy, Drama, Romance",Mike Mills,Mike Mills,"Ewan McGregor, Christopher Plummer, Mélanie Laurent",A young man is rocked by two announcements from his elderly father: that he has terminal cancer and that he has a young male lover.,"English, French",United States,https://m.media-amazon.com/images/M/MV5BMjAyNDcxNTk3NV5BMl5BanBnXkFtZTcwMjk4MDU2NA@@._V1_SX300.jpg,,,,,
The Guard,2011,R,07 Jul 2011,96 min,"Comedy, Crime, Thriller",John Michael McDonagh,John Michael McDonagh,"Brendan Gleeson, Don Cheadle, Mark Strong",An unorthodox Irish policeman with a confrontational personality is partnered with an uptight F.B.I. agent to investigate an international drug-smuggling ring.,"English, Irish Gaelic","United Kingdom, Ireland, United States",https://m.media-amazon.com/images/M/MV5BMTY2ODkzMDgwM15BMl5BanBnXkFtZTcwMDA1Mjg1OA@@._V1_SX300.jpg,,,,,
Cave of Forgotten Dreams,2010,G,31 Aug 2011,90 min,"Documentary, History",Werner Herzog,"Werner Herzog, Judith Thurman","Werner Herzog, Jean Clottes, Julien Monney",Werner Herzog gains exclusive access to film inside the Chauvet caves of Southern France and captures the oldest known pictorial creations of humanity.,"English, German, French","Canada, United States, France, Germany, United Kingdom",https://m.media-amazon.com/images/M/MV5BMTYxNDExMzUwMl5BMl5BanBnXkFtZTcwNjM2MzYwNQ@@._V1_SX300.jpg,,,,,
Margin Call,2011,R,29 Sep 2011,107 min,"Drama, Thriller",J.C. Chandor,J.C. Chandor,"Zachary Quinto, Stanley Tucci, Kevin Spacey",Follows the key people at an investment bank over a 24-hour period during the early stages of the 2008 financial crisis.,English,United States,https://m.media-amazon.com/images/M/MV5BMjE5NzkyNDI2Nl5BMl5BanBnXkFtZTcwMTYzNDc2Ng@@._V1_SX300.jpg,,,,,
How Do You Know?,2014,N/A,N/A,8 min,"Short, History",Renae Barnard,Renae Barnard,N/A,How Do You Know? is an ongoing collaborative installation comprised of written and audio responses to the prompt 'What is a woman? What is a man? How do you know if you are one?' Despite ...,English,USA,N/A,,,,,
Biutiful,2010,R,04 Feb 2011,148 min,"Drama, Romance",Alejandro G. Iñárritu,"Alejandro G. Iñárritu, Armando Bo, Nicolás Giacobone","Javier Bardem, Maricel Álvarez, Hanaa Bouchaib",A man dying of cancer tries his best to leave the world on his own terms.,"Spanish, Chinese, Wolof","Mexico, Spain",https://m.media-amazon.com/images/M/MV5BMzI4OTQ0MDQyNl5BMl5BanBnXkFtZTcwODY5MjQwNA@@._V1_SX300.jpg,,,,,
The Artist,2011,PG-13,20 Jan 2012,100 min,"Comedy, Drama, Romance",Michel Hazanavicius,Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,"English, French","France, Belgium, United States",https://m.media-amazon.com/images/M/MV5BMDUyZWU5N2UtOWFlMy00MTI0LTk0ZDYtMzFhNjljODBhZDA5XkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_SX300.jpg,,,,,
Under the Sea 3D,2009,G,13 Feb 2009,41 min,"Documentary, Short",Howard Hall,"Howard Hall, Toni Myers, Graeme Ferguson",Jim Carrey,"An underwater look at the diverse coastal regions of Southern Australia, New Guinea and the Indo-Pacific areas and the impact of global warming on the oceans.",English,"United States, Canada",https://m.media-amazon.com/images/M/MV5BNDI1NmNiNzktNmY5My00MDgwLWEwYjktYTI4YTZkZDQzZTdhXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
Sea Rex 3D: Journey to a Prehistoric World,2010,Not Rated,02 Feb 2011,41 min,"Documentary, Short, History","Ronan Chapalain, Pascal Vuong","Ronan Chapalain, Richard Dowlearn, Pascal Vuong","Guillaume Denaiffe, Norbert Ferrer, Chloe Hollings",The T-Rex of the Seas come alive.,English,"United Kingdom, France",https://m.media-amazon.com/images/M/MV5BMTI3OTI0MDMzOV5BMl5BanBnXkFtZTcwNzk4NjkyMw@@._V1_SX300.jpg,,,,,
Anonymous,2011,PG-13,28 Oct 2011,130 min,"Drama, Thriller",Roland Emmerich,John Orloff,"Rhys Ifans, Vanessa Redgrave, David Thewlis","The theory that it was in fact Edward De Vere, Earl of Oxford, who penned Shakespeare's plays. Set against the backdrop of the succession of Queen Elizabeth I and the Essex rebellion against her.","English, French, Italian, Greek, Ancient (to 1453)","United Kingdom, Germany, United States",https://m.media-amazon.com/images/M/MV5BMjAxOTA5MTMxOV5BMl5BanBnXkFtZTcwNDI4MzU0NQ@@._V1_SX300.jpg,,,,,
The Company Men,2010,R,11 Feb 2011,104 min,Drama,John Wells,John Wells,"Ben Affleck, Chris Cooper, Tommy Lee Jones","The story centers on a year in the life of three men trying to survive a round of corporate downsizing at a major company - and how that affects them, their families, and their communities.",English,United States,https://m.media-amazon.com/images/M/MV5BMTQxMTgyNDc5M15BMl5BanBnXkFtZTcwMzk4OTM5Mw@@._V1_SX300.jpg,,,,,
Seven Days in Utopia,2011,G,02 Sep 2011,100 min,"Drama, Sport",Matthew Dean Russell,"David L. Cook, Rob Levine, Matthew Dean Russell","Lucas Black, Robert Duvall, Melissa Leo","After a disastrous debut on the pro circuit, a young golfer finds himself unexpectedly stranded in Utopia, Texas and welcomed by an eccentric rancher.",English,United States,https://m.media-amazon.com/images/M/MV5BMTUwNjcwMDgzNV5BMl5BanBnXkFtZTcwMjE3MzAxNg@@._V1_SX300.jpg,,,,,
Megamind,2010,PG,05 Nov 2010,95 min,"Animation, Action, Comedy",Tom McGrath,"Alan Schoolcraft, Brent Simons","Will Ferrell, Jonah Hill, Brad Pitt","Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world.",English,United States,https://m.media-amazon.com/images/M/MV5BMTAzMzI0NTMzNDBeQTJeQWpwZ15BbWU3MDM3NTAyOTM@._V1_SX300.jpg,,,,,
