Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,Error,totalSeasons,code,message,data
Tycoon,1947,Approved,27 Dec 1947,128 min,"Adventure, Drama, Romance",Richard Wallace,"Borden Chase, John Twist, Charles E. Scoggins","John Wayne, Laraine Day, Cedric Hardwicke","In South America, an American engineer is asked by his boss to build a mountain railroad tunnel following a shorter but more dangerous route.","Spanish, English",United States,https://m.media-amazon.com/images/M/MV5BNWQwYWI2ZjEtN2VkYi00YmY4LWE4ZTQtOGEzYzllN2EyYzRkL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,,,,,
Till Human Voices Wake Us,2002,R,12 Sep 2002,101 min,"Drama, Romance",Michael Petroni,Michael Petroni,"Guy Pearce, Helena Bonham Carter, Peter Curtin","A man returns to Victoria, Australia, where he grew up, and encounters a mysterious woman who reminds him of someone he once knew.",English,Australia,https://m.media-amazon.com/images/M/MV5BYjg2OTYyNzAtMzc1My00MjQ3LThmZjctNTI4MTAyYmQ5ZmVlXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
Almost Salinas,2001,PG,N/A,92 min,"Comedy, Drama, Mystery",Terry Green,Terry Green,"John Mahoney, Linda Emond, Lindsay Crouse",A story about a man trying to overcome mistakes and past events in his life.,English,United States,https://m.media-amazon.com/images/M/MV5BMTIwNjEyNjk4Nl5BMl5BanBnXkFtZTYwOTg5Nzc5._V1_SX300.jpg,,,,,
The Other Side of the Bed,2002,R,05 Jul 2002,114 min,"Comedy, Drama, Musical",Emilio Martínez Lázaro,David Serrano,"Ernesto Alterio, Paz Vega, Guillermo Toledo",Two couples entwine on their search for love.,Spanish,Spain,https://m.media-amazon.com/images/M/MV5BYzI4MmFkOGYtYTFjNi00NDZjLTk3NzQtMDZhNWRkNjdhMzQxXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,,,,,
Personal Velocity,2002,R,20 Dec 2002,86 min,"Drama, Romance",Rebecca Miller,Rebecca Miller,"Kyra Sedgwick, Parker Posey, Fairuza Balk",Three women's escapes from their afflicted lives. Each struggles to flee from the men who confine their personal freedom.,English,United States,https://m.media-amazon.com/images/M/MV5BMzMwMDVkNDYtMWQ0MC00MTQ2LWE0NWUtNmE5ZGVjNGY3ZGJjXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,,,,,
Fellini: I'm a Born Liar,2002,R,07 May 2003,105 min,"Documentary, Biography",Damian Pettigrew,"Damian Pettigrew, Olivier Gal","Federico Fellini, Roberto Benigni, Luigi 'Titta' Benzi","A look at Fellini's creative process. In extensive interviews, Fellini talks a bit about his background and then discusses how he works and how he creates. Several actors, a producer, a writer, and a production manager talk about ...","English, Italian, French","France, Italy, United Kingdom",https://m.media-amazon.com/images/M/MV5BOWUwNWEyNzgtZjk4Mi00YjY1LThkMzktMjFiMGU1ZTUyYjhmXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_SX300.jpg,,,,,
Solaris,1972,PG,26 Sep 1972,167 min,"Drama, Mystery, Sci-Fi",Andrei Tarkovsky,"Stanislaw Lem, Fridrikh Gorenshteyn, Andrei Tarkovsky","Natalya Bondarchuk, Donatas Banionis, Jüri Järvet",A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,"Russian, German",Soviet Union,https://m.media-amazon.com/images/M/MV5BZmY4Yjc0OWQtZDRhMy00ODc2LWI2NGYtMWFlODYyN2VlNDQyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,,,,,
Touchez Pas au Grisbi,1954,Not Rated,01 Feb 1960,83 min,"Crime, Drama",Jacques Becker,"Albert Simonin, Jacques Becker, Maurice Griffe","Jean Gabin, René Dary, Dora Doll","An aging, world-weary gangster is double-crossed and forced out of retirement when his best friend is kidnapped and their stash of eight stolen gold bars demanded as ransom.",French,"Italy, France",https://m.media-amazon.com/images/M/MV5BYmIwZTczNzgtODk0NC00YjFkLTkzZDctMzAzMDdjOTE5MWZlXkEyXkFqcGdeQXVyOTI2MjI5MQ@@._V1_SX300.jpg,,,,,
XX/XY,2002,R,18 Jul 2003,91 min,"Drama, Romance",Austin Chick,Austin Chick,"Mark Ruffalo, Kathleen Robertson, Maya Stange","Three friends begin a dangerous three-way relationship that spirals out of control, leading to dire consequences that haunt them ten years later.",English,United States,https://m.media-amazon.com/images/M/MV5BZDk0YTQ0M2QtNGJjNS00NmMyLWE0OTgtZTExMTUzNGI3MmIzXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
Dum,2003,N/A,24 Jan 2003,166 min,"Action, Crime, Drama",Eeshwar Nivas,"Mehran, Eeshwar Nivas, Bunty Soorma","Vivek Oberoi, Dia Mirza, Atul Kulkarni","When one of his colleagues becomes corrupted by power and goes over to the dark side, a young police officer tries to bring the offender to justice.",Hindi,India,https://m.media-amazon.com/images/M/MV5BMjQ4NDY0ODQzMl5BMl5BanBnXkFtZTcwODc1ODgzMQ@@._V1_SX300.jpg,,,,,
Handcart,2002,PG,11 Oct 2002,110 min,History,Kels Goodman,Mark Bowers,"Jaelan Petrie, Stephanie Albach, Chris Kendrick",The legendary story of the Martin Handcart Company is the backdrop for this theatrically released drama directed by Kels Goodman (Producer of Tears of a King: The Latter-days of Elvis Presley and Will it Blend). Handcart follows S...,English,United States,https://m.media-amazon.com/images/M/MV5BNDY4ZjBhMzktMzU5ZS00OWFhLTkxYmYtY2YwNDkwNDcyZjI4XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
Stevie,2002,R,13 Mar 2003,140 min,Documentary,Steve James,N/A,"Steve James, Stephen Fielding, Tonya Gregory","In 1995, director Steve James (of 'Hoop Dreams') returned to rural Southern Illinois to reconnect with Stevie Fielding, a troubled young boy to whom he had been an ""Advocate Big Brother"" ten years earlier.",English,N/A,https://m.media-amazon.com/images/M/MV5BMTM5MzYwNDE1OF5BMl5BanBnXkFtZTYwMjM4MDY2._V1_SX300.jpg,,,,,
Kaante,2002,R,20 Dec 2002,150 min,"Action, Crime, Drama",Sanjay Gupta,"Sanjay Gupta, Yash Keswani, Rahul Singh","Amitabh Bachchan, Sanjay Dutt, Suniel Shetty",Six bank robbers trying to pull off the perfect heist discover one of them is an undercover cop.,"Hindi, English",India,https://m.media-amazon.com/images/M/MV5BN2FiZjY4YWYtNzU4Yy00YzAyLWJhMDMtNzEzNTU0Mjc3MDQ4XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
Igby Goes Down,2002,R,04 Oct 2002,98 min,"Comedy, Drama",Burr Steers,Burr Steers,"Kieran Culkin, Susan Sarandon, Jeff Goldblum",A young man's peculiar upbringing renders him unable to competently cope with the struggle of growing up.,English,"United States, Germany",https://m.media-amazon.com/images/M/MV5BNjcxMjdmZGUtNDIwYS00YjQ5LWI1ZTctYjRlM2NkMTViNDAzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,,,,,
Of Autumn & Spring,2019,N/A,N/A,17 min,Short,Aditya Chowdhury,Zoheb Abai,Ishan Singh,"A poet struggles to find inspiration while being constrained by the cycle of time. He would have to overcome his sense of self inadequacy and his fears, to escape this cycle, and create his magnum opus.",English,India,https://m.media-amazon.com/images/M/MV5BZTQxMDA5NmItN2IwNy00YmEwLTk2ZmMtN2VlMTgzNzgxZTYwXkEyXkFqcGdeQXVyNzg2MjY0Mjc@._V1_SX300.jpg,,,,,
30 Years to Life,2001,R,05 Sep 2003,110 min,"Comedy, Drama, Romance",Vanessa Middleton,Vanessa Middleton,"Erika Alexander, Melissa De Sousa, Tracy Morgan",A group of friends each face an emotional crisis as they approach thirty years of age.,English,United States,https://m.media-amazon.com/images/M/MV5BMTQ4ODcyNzk1NF5BMl5BanBnXkFtZTcwMzI5MTUyMQ@@._V1_SX300.jpg,,,,,
Where's the Party Yaar?,2003,PG-13,28 May 2004,110 min,Comedy,Benny Mathews,"Benny Mathews, Soham Mehta, Sunil Thakkar","Diwakar Pathak, Sunil Malhotra, Indravadan Tridevi","With help from his cousin, an emigrant of India adjusts to life in Houston while attending college.","Hindi, English",United States,https://m.media-amazon.com/images/M/MV5BMjA4MzAzMjY0MF5BMl5BanBnXkFtZTcwNDI1MzE2MQ@@._V1_SX300.jpg,,,,,
Cyber Seduction: His Secret Life,2005,TV-14,20 Jun 2005,87 min,Drama,Tom McLoughlin,"Wesley Bishop, Richard Kletter","Jeremy Sumpter, Lyndsy Fonseca, John Robinson",A high school kid (Sumpter) develops an addiction to Internet porn so intense that it begins to destroy his life and tear his family apart.,English,United States,https://m.media-amazon.com/images/M/MV5BNTliY2RhZWMtN2QxNy00NjAyLTg3ZDItNmVjMWRhZWYyYjExXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,,,,,
Alien Adventure,1999,N/A,20 Aug 1999,35 min,"Animation, Sci-Fi, Short",Ben Stassen,Ben Stassen,"John Boyle, Bouli Lanners, Pierre Lebecque",Aliens arrive on Earth and explore an amusement park thinking it it is a modern city.,English,"Belgium, United States",https://m.media-amazon.com/images/M/MV5BNWM3ZDc2ZDMtZDE3Yy00NGEwLWI1NzEtYjEwODhmNDdjYzY3XkEyXkFqcGdeQXVyMTIyNjIyODU3._V1_SX300.jpg,,,,,
Tadpole,2002,PG-13,23 Aug 2002,78 min,"Comedy, Drama, Romance",Gary Winick,"Heather McGowan, Niels Mueller, Gary Winick","Sigourney Weaver, Aaron Stanford, Kate Mara","Coming-of-age story about a suave 15-year-old prep school student who falls in love with his stepmother. When her best friend responds to his advances, he suddenly finds himself in way over his head.","English, French",United States,https://m.media-amazon.com/images/M/MV5BMTM2MjMxMTUzMl5BMl5BanBnXkFtZTcwMzQ4MjcxMQ@@._V1_SX300.jpg,,,,,
So Close,2002,R,12 Sep 2002,111 min,"Action, Crime, Thriller",Corey Yuen,Jeffrey Lau,"Shu Qi, Wei Zhao, Karen Mok",A conflict of interest between two high-kicking assassin sisters is complicated as they're pursued by the criminals who hired them and an equally high-kicking female cop.,"Mandarin, Cantonese, English",Hong Kong,https://m.media-amazon.com/images/M/MV5BMjMyZDlkMTEtMDg3Yy00YTk3LTg0NDYtMjg1MGU4MWMyMTcxXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg,,,,,
Modern Times,1936,G,25 Feb 1936,87 min,"Comedy, Drama, Romance",Charles Chaplin,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,English,United States,https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,,,,,
In This World,2002,R,28 Mar 2003,88 min,Drama,Michael Winterbottom,Tony Grisoni,"Jamal Udin Torabi, Enayatullah, Imran Paracha",A refugee family is trying to reach more peaceful lands illegally inside trucks.,"Pashtu, Persian, English, Turkish",United Kingdom,https://m.media-amazon.com/images/M/MV5BNjUwOTUxNTU2OF5BMl5BanBnXkFtZTcwMjUzNTAwMQ@@._V1_SX300.jpg,,,,,
Jackass: The Movie,2002,R,25 Oct 2002,85 min,"Documentary, Action, Comedy",Jeff Tremaine,"Jeff Tremaine, Spike Jonze, Johnny Knoxville","Johnny Knoxville, Bam Margera, Chris Pontius",Johnny Knoxville and his band of maniacs perform a variety of stunts and gross-out gags on the big screen for the first time.,English,United States,https://m.media-amazon.com/images/M/MV5BOTgwMmU0YzktOGNhNi00MDcyLTg1OGEtZGQwM2RlMTAyYzhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Emerald Cowboy,2003,R,17 Nov 2004,90 min,"Documentary, Drama",Andrew Molina,Eishy Hayata,"Eishy Hayata, Lucho Velasco, Juan Pablo Shuk",This is the true story of the rise of a Japanese businessman from Los Angeles named Eishy Hayata from an Airline engineer into the legend of the Emerald world -- the Emerald Cowboy. He moved to Columbia in the 70's and with six gu...,"English, Spanish, Japanese",Colombia,https://m.media-amazon.com/images/M/MV5BOTZhZDcwNjEtZWJmYy00ZDYxLWI5YjAtZDFiZWY5NzRjMjZmXkEyXkFqcGdeQXVyMTg1ODU3MDA@._V1_SX300.jpg,,,,,
Take That: Love Love,2011,N/A,27 May 2011,4 min,"Short, Music, Sci-Fi","Alex Large, Liane Sommers",N/A,"Gary Barlow, Howard Donald, Jason Orange, Mark Owen",The video shows the members of the band performing the song as a set of highly choreographed dancers parade around them.,English,UK,https://m.media-amazon.com/images/M/MV5BNzdmMmRmOTYtYTNmMy00ZDFlLWJkYjctMDI5YWM2Mzc1NTgxXkEyXkFqcGdeQXVyNDQ5MDYzMTk@._V1_SX300.jpg,,,,,
O Fantasma,2000,Unrated,20 Oct 2000,87 min,Drama,João Pedro Rodrigues,"João Pedro Rodrigues, José Neves, Paulo Rebelo","Ricardo Meneses, Beatriz Torcato, Andre Barbosa","Young and handsome Sergio works the night shift as a trash collector in Lisbon, Portugal. He can't force himself to connect with his pretty female co-worker Fatima, who displays an avid interest in him, so instead Sergio roams the...",Portuguese,Portugal,https://m.media-amazon.com/images/M/MV5BZjE1NzA2MDgtMmYxZi00ZTAwLWFkYmYtOWJhOGEwOGMwNGI1XkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_SX300.jpg,,,,,
New Suit,2002,R,03 Oct 2002,94 min,Comedy,François Velle,Craig Sherman,"Jordan Bridges, Marisa Coughlan, Heather Donahue",A once-idealistic writer inadvertently ignites a feeding frenzy in Hollywood with the mention of a mysterious new screenplay and its illusive author.,English,United States,https://m.media-amazon.com/images/M/MV5BMTQ2MTQ1NDIzNl5BMl5BanBnXkFtZTYwNzgwMDg5._V1_SX300.jpg,,,,,
Dummy,2020,TV-MA,20 Apr 2020,6 min,"Short, Comedy, Drama",Tricia Brock,Cody Heller,"Anna Kendrick, Meredith Hagner, Donal Logue",An aspiring writer befriends her boyfriend's sex doll and the two take on the world together.,English,USA,https://m.media-amazon.com/images/M/MV5BMjUwNjg4NjUtODcwOS00NjZhLWIxNzgtYjg2YjYyN2VkY2IzXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_SX300.jpg,,1,,,
Concert for George,2003,PG-13,03 Mar 2004,146 min,"Documentary, Music",David Leland,N/A,"Joe Brown, Eric Clapton, Jools Holland, Sam Brown","George Harrison's friends, family, and bandmates unite for a tribute concert on the one-year anniversary of his death.",English,"UK, USA",https://m.media-amazon.com/images/M/MV5BZGJiNDE2MWUtMDA3MS00ZjFkLTllY2ItMzQ2YTYxNTJhNjJiXkEyXkFqcGdeQXVyMzIzNDU1NTY@._V1_SX300.jpg,,,,,
Returner,2002,R,31 Aug 2002,116 min,"Action, Adventure, Sci-Fi",Takashi Yamazaki,"Takashi Yamazaki, Kenya Hirata","Takeshi Kaneshiro, Anne Suzuki, Gorô Kishitani",A young woman from the future forces a local gunman to help her stop an impending alien invasion which will wipe out the human race.,"Japanese, English, Mandarin",Japan,https://m.media-amazon.com/images/M/MV5BMWRhNDBhZjgtZTAwOS00MjM4LWJhNGItMDhmYzllZjdjNGI3XkEyXkFqcGdeQXVyODkxMTU1Njc@._V1_SX300.jpg,,,,,
Manic,2001,R,23 May 2003,100 min,Drama,Jordan Melamed,"Michael Bacall, Blayne Weaver","Joseph Gordon-Levitt, Michael Bacall, Zooey Deschanel","After attacking another player with a bat during baseball at school, Lyle's sent to the psych ward. He meets other teenagers with problems. Will group therapy help?",English,United States,https://m.media-amazon.com/images/M/MV5BMjE2OTU4MTY5N15BMl5BanBnXkFtZTYwODA3NTQ3._V1_SX300.jpg,,,,,
The Princess Blade,2001,R,15 Dec 2001,93 min,"Action, Sci-Fi",Shinsuke Sato,"Kazuo Kamimura, Kazuo Koike, Kei Kunii","Yumiko Shaku, Hideaki Itô, Yôichi Numata","Raised by assassins, Yuki is the last of the Takemikazuchi royal bloodline. A deadly weapon in her own right, she learns the gruesome truth about the death of her beloved mother and joins forces with a mysterious rebel leader.",Japanese,Japan,https://m.media-amazon.com/images/M/MV5BZjlhNGJkMjUtOTJhNy00NTMzLWIyZmMtNGQ5Y2EwYjU2NjQ3XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,,,,,
Standard Time,1967,N/A,27 Mar 2005,8 min,Short,Michael Snow,N/A,Joyce Wieland,N/A,English,Canada,N/A,,,,,
Metropolis,1927,Not Rated,13 Mar 1927,153 min,"Drama, Sci-Fi",Fritz Lang,"Thea von Harbou, Fritz Lang","Brigitte Helm, Alfred Abel, Gustav Fröhlich","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.","German, English",Germany,https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,,,,
Pinjar,2003,N/A,24 Oct 2003,188 min,Drama,Chandra Prakash Dwivedi,"Chandra Prakash Dwivedi, Amrita Pritam","Urmila Matondkar, Manoj Bajpayee, Sanjay Suri","In the days leading up to Partition, a Hindu woman is abducted by a Muslim man. Soon, she finds herself not only forced into marriage, but living in a new country as the borders between India and Pakistan are drawn.","Hindi, Urdu",India,https://m.media-amazon.com/images/M/MV5BNjZhOTVjYTctNGFhOC00NTAxLTg4NmMtZjNiNTVkNWMwODA3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
The Son,2017–2019,TV-14,08 Apr 2017,44 min,"Drama, History, Western",N/A,"Brian McGreevy, Philipp Meyer, Lee Shipman","Pierce Brosnan, Jacob Lofland, Henry Garrett",A multi-generational epic telling of the story of America's birth as a superpower through the bloody rise and fall of one Texas oil empire.,"English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BMjI2NzM4MzE2OF5BMl5BanBnXkFtZTgwMjczODQ2NzM@._V1_SX300.jpg,,2,,,
Dopamine,2003,R,23 Jan 2003,79 min,"Comedy, Drama, Romance",Mark Decena,"Mark Decena, Timothy Breitbach","John Livingston, Sabrina Lloyd, Bruno Campos",A San Franciscan computer programmer falls in love with a schoolteacher in the days after the dot.com boom.,English,United States,https://m.media-amazon.com/images/M/MV5BMTg1NzMzMDQwNV5BMl5BanBnXkFtZTcwODQyNjAwMQ@@._V1_SX300.jpg,,,,,
The Andrei Tarkovsky Retrospective,2020,N/A,03 Apr 2020,105 min,Documentary,"Lewis Michael Bond, Luiza Liz Bond","Lewis Michael Bond, Luiza Liz Bond","Andrei Tarkovsky, Lewis Michael Bond",A Video Essay on the Films of Andrei Tarkovsky.,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BY2ZhYTA0NDAtZDQwMy00NDFhLTlkYWYtMWQ1YzFmMzI2YjI5XkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_SX300.jpg,,,,,
The Hebrew Hammer,2003,R,25 Mar 2004,85 min,Comedy,Jonathan Kesselman,Jonathan Kesselman,"Adam Goldberg, Andy Dick, Judy Greer",An orthodox Jewish blaxploitation hero saves Hanukkah from the clutches of Santa Claus' evil son.,"English, Hebrew, Yiddish",United States,https://m.media-amazon.com/images/M/MV5BMTQ4NzUzNDMxNl5BMl5BanBnXkFtZTcwNzA1NjQyMQ@@._V1_SX300.jpg,,,,,
The Sea,2002,R,13 Sep 2002,109 min,"Comedy, Drama",Baltasar Kormákur,"Baltasar Kormákur, Ólafur Haukur Símonarson","Gunnar Eyjólfsson, Hilmir Snær Guðnason, Hélène de Fougerolles","A rich father in a fisher village plans to take on the project of writing his life story. But first he has to take on his own family, and everybody wants something...","Icelandic, Norwegian, English","Iceland, France, Norway",https://m.media-amazon.com/images/M/MV5BMWExMTIwZmMtMDQ5YS00MzdhLWFiNDYtN2E1OGExNjNmOWJjXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
The Good Old Naughty Days,2002,Unrated,24 Jul 2002,69 min,"Documentary, Adult",Michel Reilhac,"Pascal Greggory, Sébastien Marnier, Chris Nortier",N/A,"Series of 12 short movies from the start of the twentieth century, compiled by Michel Reilhac. These movies were the first adult movies, most of them were made in order to explain how sex works to unexperimented young men before t...","None, French",France,https://m.media-amazon.com/images/M/MV5BMjg1Mzk1NTYyM15BMl5BanBnXkFtZTcwMjAzOTYyMQ@@._V1_SX300.jpg,,,,,
I Vitelloni,1953,Not Rated,07 Nov 1956,104 min,"Comedy, Drama",Federico Fellini,"Federico Fellini, Ennio Flaiano, Tullio Pinelli","Alberto Sordi, Franco Fabrizi, Franco Interlenghi",A character study of five young men at crucial turning points in their lives in a small town in Italy.,Italian,N/A,https://m.media-amazon.com/images/M/MV5BZDA5MjI0NWEtMTcwOS00MTI4LWE3MTMtZTc2OTcwZDgyYTFhXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,,,,,
Painted Fire,2002,Unrated,10 May 2002,120 min,"Biography, Drama, History",Im Kwon-taek,"Yong-ok Kim, Im Kwon-taek, Byung-sam Min","Choi Min-sik, Sung-Ki Ahn, Ho-jeong Yu","In a time of political and social unrest in nineteenth-century Korea, an uncouth, self-taught painter explores his natural talent amidst the repressive world around him.","Korean, Japanese",South Korea,https://m.media-amazon.com/images/M/MV5BNzc0ODRkY2QtYTI3Yy00ZTY4LWI4ZTItOGQxZDNhOTZhN2MxXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,,,,,
Down by Law,1986,R,25 Sep 1986,107 min,"Comedy, Crime, Drama",Jim Jarmusch,Jim Jarmusch,"Tom Waits, John Lurie, Roberto Benigni","Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.","English, Italian, French","United States, West Germany",https://m.media-amazon.com/images/M/MV5BNmQ2ZGVlZTctZDllYy00YTVlLTk0ZWEtM2Y4ZjhjNGU0MzU3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,,,,,
The Young Unknowns,2000,R,12 Mar 2000,87 min,Drama,Catherine Jelski,"Wolfgang Bauer, Catherine Jelski","Devon Gummersall, Eion Bailey, Arly Jover","Charlie (Gummersall), his sexy girlfriend (Jover), and his moronic best friend (Bailey) drink, drug, and self-destruct over the course of one day at Charlie's father home in Los Angeles.",English,United States,https://m.media-amazon.com/images/M/MV5BMTM4MTY2Nzg3MF5BMl5BanBnXkFtZTYwNjc0NTk5._V1_SX300.jpg,,,,,
Prey for Rock & Roll,2003,R,04 Jun 2004,104 min,"Drama, Music",Alex Steyermark,"Cheri Lovedog, Robin Shushan","Gina Gershon, Lori Petty, Marc Blucas","Prey For Rock &amp; Roll is the story of Jacki and her all-girl rock and roll band, Clam Dandy, who are trying to make it in the LA club scene of the late 1980s. After ten years of being ignored by record producers, Jacki and the band...",English,United States,https://m.media-amazon.com/images/M/MV5BMTY2MDI1MDE2MF5BMl5BanBnXkFtZTYwNDA3OTQ3._V1_SX300.jpg,,,,,
House of Fools,2002,R,06 Dec 2002,104 min,"Drama, Music, Romance",Andrey Konchalovskiy,Andrey Konchalovskiy,"Yuliya Vysotskaya, Sultan Islamov, Bryan Adams","In the midst of the Chechen War, a remote psychiatric institution is left without staff leaving the patients to fend for themselves. Based on a true story.","Chechen, Russian",N/A,https://m.media-amazon.com/images/M/MV5BMDFlYTRkOGMtMWQ1Yy00NWI2LWI3NzEtNDQ0MTg4MjQ0ZmY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Only the Strong Survive,2002,PG-13,15 Aug 2003,95 min,"Documentary, Music","Chris Hegedus, D.A. Pennebaker",N/A,"Wilson Pickett, Sam Moore, Mary Wilson",A film featuring the veteran soul music artists and music of Stax Records.,English,United States,https://m.media-amazon.com/images/M/MV5BNTUzNDJmNmUtYzc1OS00YzRkLThkYjEtNDk5ZmRjMTRiMmUyXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
The Embalmer,1965,PG,06 May 1966,83 min,"Horror, Mystery, Thriller",Dino Tavella,"Paolo Lombardo, Gian Battista Mussetto, Dino Tavella","Maureen Brown, Luigi Martocci, Alcide Gazzotto","A crazed killer is on the loose in the catacombs of Venice, Italy. He stalks beautiful women, drags them to his underground lair, kills them, then stuffs them and adds them to his ""collection.""",Italian,Italy,https://m.media-amazon.com/images/M/MV5BNjY4ZmUzNWYtZGZhNS00YzYxLWI5ZGEtYWE1YjI4NTNiN2FhXkEyXkFqcGdeQXVyMTAxMDQ0ODk@._V1_SX300.jpg,,,,,
Kart Racer,2003,PG,20 Oct 2004,94 min,"Comedy, Drama, Family",Stuart Gillard,Nicholas DiBella,"Randy Quaid, Will Rothhaar, Jennifer Wigmore","Randy Quaid stars in this uplifting, action-packed coming-of-age story about an aspiring racer with a need for speed, a passion for the racetrack and a hunger for victory!",English,"Germany, Canada",https://m.media-amazon.com/images/M/MV5BOTc3NjI3MTM2MF5BMl5BanBnXkFtZTgwMDgxNDk3NzE@._V1_SX300.jpg,,,,,
Brown Sugar,2002,PG-13,11 Oct 2002,109 min,"Comedy, Drama, Music",Rick Famuyiwa,"Michael Elliot, Rick Famuyiwa","Taye Diggs, Sanaa Lathan, Yasiin Bey","Friends since childhood, a magazine editor and a hip-hop record executive stumble into romantic territory.",English,United States,https://m.media-amazon.com/images/M/MV5BNDU4ODk1NzM0Ml5BMl5BanBnXkFtZTYwOTcxMDg5._V1_SX300.jpg,,,,,
The Event,2010–2011,TV-14,20 Sep 2010,4 min,"Crime, Drama, Mystery",N/A,Nick Wauters,"Jason Ritter, Sarah Roemer, Ian Anthony Dale","When a man goes looking for his missing girlfriend, he stumbles upon a government conspiracy that is bigger than the President himself.",English,United States,https://m.media-amazon.com/images/M/MV5BODdjNWY3N2MtNjk5Yy00ODYwLTgzZTEtNjk0ZWJiMTY5N2FhXkEyXkFqcGdeQXVyMTE1MTYxMzk2._V1_SX300.jpg,,1,,,
Auto Focus,2002,R,01 Nov 2002,105 min,"Biography, Crime, Drama",Paul Schrader,"Robert Graysmith, Michael Gerbosi","Greg Kinnear, Willem Dafoe, Maria Bello",The life of TV star Bob Crane and his strange friendship with electronics expert John Henry Carpenter.,English,United States,https://m.media-amazon.com/images/M/MV5BYzVmMDZiMWUtN2FkYS00ZDBkLWFjODctZTJkYTdlOTY3YzU2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,,,,,
Across the Sea of Time,1995,G,20 Oct 1995,51 min,"Adventure, Drama, Family",Stephen Low,Andrew Gellis,"Peter Reznick, John McDonough, Avi Hoffman","A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is sear...","English, Russian",United States,https://m.media-amazon.com/images/M/MV5BOTIwMzk1MDc1MF5BMl5BanBnXkFtZTcwMTEzNDkyMQ@@._V1_SX300.jpg,,,,,
Eyes Without a Face,1960,Not Rated,24 Oct 1962,90 min,"Drama, Horror",Georges Franju,"Jean Redon, Pierre Boileau, Thomas Narcejac","Pierre Brasseur, Alida Valli, Juliette Mayniel",A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face.,French,"France, Italy",https://m.media-amazon.com/images/M/MV5BNjVjNDBkZjQtMTc4Ni00MTQ5LTkyNmYtNDE2NGMzYzdiOTVlXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_SX300.jpg,,,,,
