Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,Error,totalSeasons
The Hobbit: The Desolation of Smaug,2013,PG-13,13 Dec 2013,161 min,"Adventure, Fantasy",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson","Ian McKellen, Martin Freeman, Richard Armitage","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",English,"New Zealand, United States",https://m.media-amazon.com/images/M/MV5BMzU0NDY0NDEzNV5BMl5BanBnXkFtZTgwOTIxNDU1MDE@._V1_SX300.jpg,,
Draft Day,2014,PG-13,11 Apr 2014,110 min,"Drama, Sport",Ivan Reitman,"Scott Rothman, Rajiv Joseph","Kevin Costner, Chadwick Boseman, Jennifer Garner","At the NFL Draft, General Manager Sonny Weaver has the opportunity to rebuild his team when he trades for the number one pick. He must decide what he's willing to sacrifice on a life-changing day for a few hundred young men with N...",English,United States,https://m.media-amazon.com/images/M/MV5BMjAyOTMxMjA3Nl5BMl5BanBnXkFtZTgwMTMwNjQ4MDE@._V1_SX300.jpg,,
Oculus,2013,R,11 Apr 2014,104 min,"Horror, Mystery, Thriller",Mike Flanagan,"Mike Flanagan, Jeff Howard, Jeff Seidman","Karen Gillan, Brenton Thwaites, Katee Sackhoff","A woman tries to exonerate her brother, who was convicted of murder, by proving that the crime was committed by a supernatural phenomenon.",English,United States,https://m.media-amazon.com/images/M/MV5BMzE1NzM4MjEyNV5BMl5BanBnXkFtZTgwMjYzMjMzMTE@._V1_SX300.jpg,,
The Gambler,2014,R,25 Dec 2014,111 min,"Crime, Drama, Thriller",Rupert Wyatt,"William Monahan, James Toback","Mark Wahlberg, Jessica Lange, John Goodman","Literature professor and gambler Jim Bennett's debt causes him to borrow money from his mother and a loan shark. Further complicating his situation, is his relationship with one of his students. Will Bennett risk his life for a se...",English,United States,https://m.media-amazon.com/images/M/MV5BNGY1ODNhYWItZGM0OC00ODI4LWFmM2UtODE1N2Y4NTFhMDk5XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,,
The Best of Me,2014,PG-13,17 Oct 2014,118 min,"Drama, Romance",Michael Hoffman,"Nicholas Sparks, Will Fetters, J. Mills Goodloe","James Marsden, Michelle Monaghan, Luke Bracey",A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,English,United States,https://m.media-amazon.com/images/M/MV5BMzQ5Njg3Njk5N15BMl5BanBnXkFtZTgwODIwODIxMjE@._V1_SX300.jpg,,
That Awkward Moment,2014,R,31 Jan 2014,94 min,"Comedy, Romance",Tom Gormican,Tom Gormican,"Zac Efron, Michael B. Jordan, Miles Teller","Three best friends find themselves where we've all been - at that confusing moment in every dating relationship when you have to decide ""So...where is this going?""",English,United States,https://m.media-amazon.com/images/M/MV5BMjExODEyMjMwNV5BMl5BanBnXkFtZTgwMTAyODM1MDE@._V1_SX300.jpg,,
A Walk Among the Tombstones,2014,R,19 Sep 2014,114 min,"Action, Crime, Drama",Scott Frank,"Lawrence Block, Scott Frank","Liam Neeson, Dan Stevens, David Harbour",Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,"English, Spanish, Urdu, Russian",United States,https://m.media-amazon.com/images/M/MV5BMTQ3NzY2MTg1M15BMl5BanBnXkFtZTgwODY2Njk4MTE@._V1_SX300.jpg,,
Her,2013,R,10 Jan 2014,126 min,"Drama, Romance, Sci-Fi",Spike Jonze,Spike Jonze,"Joaquin Phoenix, Amy Adams, Scarlett Johansson","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",English,United States,https://m.media-amazon.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@._V1_SX300.jpg,,
The November Man,2014,R,27 Aug 2014,108 min,"Action, Thriller",Roger Donaldson,"Michael Finch, Karl Gajdusek, Bill Granger","Pierce Brosnan, Luke Bracey, Olga Kurylenko",An ex-C.I.A. operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high-level C.I.A. officials and the Russian President-elect.,"English, Russian","United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BNTkzMDk5NjUxNV5BMl5BanBnXkFtZTgwMzMwOTMyMjE@._V1_SX300.jpg,,
The Theory of Everything,2014,PG-13,26 Nov 2014,123 min,"Biography, Drama, Romance",James Marsh,"Anthony McCarten, Jane Hawking","Eddie Redmayne, Felicity Jones, Tom Prior",A look at the relationship between the famous physicist Stephen Hawking and his wife.,"English, French, Ukrainian","United Kingdom, Japan",https://m.media-amazon.com/images/M/MV5BMTAwMTU4MDA3NDNeQTJeQWpwZ15BbWU4MDk4NTMxNTIx._V1_SX300.jpg,,
Saving Mr. Banks,2013,PG-13,20 Dec 2013,125 min,"Biography, Comedy, Drama",John Lee Hancock,"Kelly Marcel, Sue Smith","Emma Thompson, Tom Hanks, Annie Rose Buckley","Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",English,"United Kingdom, Australia, United States",https://m.media-amazon.com/images/M/MV5BMTc0MTQ3NzE4Nl5BMl5BanBnXkFtZTcwMzA4NDM5OQ@@._V1_SX300.jpg,,
Boyhood,2014,R,15 Aug 2014,165 min,Drama,Richard Linklater,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Ethan Hawke","The life of Mason, from early childhood to his arrival at college.","English, Spanish, Ukrainian",United States,https://m.media-amazon.com/images/M/MV5BMTYzNDc2MDc0N15BMl5BanBnXkFtZTgwOTcwMDQ5MTE@._V1_SX300.jpg,,
Birdman or (The Unexpected Virtue of Ignorance),2014,R,14 Nov 2014,119 min,"Comedy, Drama",Alejandro G. Iñárritu,"Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris","Michael Keaton, Zach Galifianakis, Edward Norton","A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",English,United States,https://m.media-amazon.com/images/M/MV5BODAzNDMxMzAxOV5BMl5BanBnXkFtZTgwMDMxMjA4MjE@._V1_SX300.jpg,,
Top Five,2014,R,12 Dec 2014,102 min,"Comedy, Romance",Chris Rock,Chris Rock,"Chris Rock, Rosario Dawson, Gabrielle Union",A comedian tries to make it as a serious actor when his reality television star fiancée talks him into broadcasting their wedding on her television show.,English,United States,https://m.media-amazon.com/images/M/MV5BMjIzNTg4ODM3OV5BMl5BanBnXkFtZTgwMTk0MjkxMzE@._V1_SX300.jpg,,
Endless Love,2014,PG-13,14 Feb 2014,104 min,"Drama, Romance",Shana Feste,"Shana Feste, Joshua Safran, Scott Spencer","Gabriella Wilde, Alex Pettyfer, Bruce Greenwood",The story of a privileged girl and a charismatic boy whose instant desire sparks a love affair made only more reckless by parents trying to keep them apart.,English,United States,https://m.media-amazon.com/images/M/MV5BOTYzNDU1MzEyN15BMl5BanBnXkFtZTgwOTYwMTU0MDE@._V1_SX300.jpg,,
Pompeii,2014,PG-13,21 Feb 2014,105 min,"Action, Adventure, Drama",Paul W.S. Anderson,"Janet Scott Batchler, Lee Batchler, Michael Robert Johnson","Kit Harington, Emily Browning, Kiefer Sutherland","A slave-turned-gladiator finds himself in a race against time to save his true love, who has been betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts, he must fight to save his beloved as Pompeii crumbles around him.",English,"Canada, Germany, United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BNjJkMzhjZWItNzVjMS00N2Y0LWE5YWMtY2Q5NGIzOWZmOTEzXkEyXkFqcGdeQXVyMTAwMzUyMzUy._V1_SX300.jpg,,
Transcendence,2014,PG-13,18 Apr 2014,119 min,"Action, Drama, Sci-Fi",Wally Pfister,Jack Paglen,"Johnny Depp, Rebecca Hall, Morgan Freeman",A scientist's drive for artificial intelligence takes on dangerous implications when his own consciousness is uploaded into one such program.,English,"United Kingdom, China, United States",https://m.media-amazon.com/images/M/MV5BMTc1MjQ3ODAyOV5BMl5BanBnXkFtZTgwNjI1NDQ0MTE@._V1_SX300.jpg,,
"As Above, So Below",2014,R,29 Aug 2014,93 min,"Horror, Mystery, Thriller",John Erick Dowdle,"John Erick Dowdle, Drew Dowdle","Perdita Weeks, Ben Feldman, Edwin Hodge","When a team of explorers ventures into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead.","English, French, Latin",United States,https://m.media-amazon.com/images/M/MV5BMTQzNzg0NDI2MF5BMl5BanBnXkFtZTgwMzgxNzY2MTE@._V1_SX300.jpg,,
Brick Mansions,2014,PG-13,25 Apr 2014,90 min,"Action, Crime, Thriller",Camille Delamarre,"Luc Besson, Bibi Naceri, Ryan Amon","Paul Walker, David Belle, RZA",An undercover Detroit cop navigates a dangerous neighborhood that's surrounded by a containment wall with the help of an ex-con in order to bring down a crime lord and his plot to devastate the entire city.,"English, Chinese","France, Canada, United States, Spain",https://m.media-amazon.com/images/M/MV5BOTI0ODQ2MzY5NF5BMl5BanBnXkFtZTgwNTcxNzQxMTE@._V1_SX300.jpg,,
Ghostbusters,1984,PG,08 Jun 1984,105 min,"Action, Comedy, Fantasy",Ivan Reitman,"Dan Aykroyd, Harold Ramis, Rick Moranis","Bill Murray, Dan Aykroyd, Sigourney Weaver","Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",English,United States,https://m.media-amazon.com/images/M/MV5BMTkxMjYyNzgwMl5BMl5BanBnXkFtZTgwMTE3MjYyMTE@._V1_SX300.jpg,,
Wild,2014,R,19 Dec 2014,115 min,"Adventure, Biography, Drama",Jean-Marc Vallée,"Nick Hornby, Cheryl Strayed","Reese Witherspoon, Laura Dern, Gaby Hoffmann","A chronicle of one woman's 1,100-mile solo hike undertaken as a way to recover from a recent personal tragedy.",English,United States,https://m.media-amazon.com/images/M/MV5BMGMzZmYzYmUtNTJiYi00MjZjLTkyZmMtZGJhYWRlMDBkMDIyXkEyXkFqcGdeQXVyNjA5MDIyMzU@._V1_SX300.jpg,,
"I, Frankenstein",2014,PG-13,24 Jan 2014,92 min,"Action, Fantasy, Sci-Fi",Stuart Beattie,"Stuart Beattie, Kevin Grevioux, Mary Shelley","Aaron Eckhart, Bill Nighy, Miranda Otto","Frankenstein's creature finds himself caught in an all-out, centuries-old war between two immortal clans.",English,"United States, Australia",https://m.media-amazon.com/images/M/MV5BMjM3Mzk2MDU3N15BMl5BanBnXkFtZTgwMzg1NTI4MDE@._V1_SX300.jpg,,
The Legend of Hercules,2014,PG-13,10 Jan 2014,99 min,"Action, Adventure, Fantasy",Renny Harlin,"Sean Hood, Daniel Giat, Renny Harlin","Kellan Lutz, Gaia Weiss, Scott Adkins","The origin story of the mythical Greek hero. Betrayed by his stepfather, the King, and exiled and sold into slavery because of a forbidden love, Hercules must use his formidable powers to fight his way back to his rightful kingdom.",English,"United States, Bulgaria, Germany",https://m.media-amazon.com/images/M/MV5BMTQwMjEyODQxMV5BMl5BanBnXkFtZTgwMDQxMjE3MDE@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
Gravity,2013,PG-13,04 Oct 2013,91 min,"Drama, Sci-Fi, Thriller",Alfonso Cuarón,"Alfonso Cuarón, Jonás Cuarón","Sandra Bullock, George Clooney, Ed Harris",Two astronauts work together to survive after an accident leaves them stranded in space.,"English, Greenlandic","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1_SX300.jpg,,
12 Years a Slave,2013,R,08 Nov 2013,134 min,"Biography, Drama, History",Steve McQueen,"John Ridley, Solomon Northup","Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",English,"United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg,,
Philomena,2013,PG-13,27 Nov 2013,98 min,"Biography, Comedy, Drama",Stephen Frears,"Steve Coogan, Jeff Pope, Martin Sixsmith","Judi Dench, Steve Coogan, Sophie Kennedy Clark","A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",English,"United Kingdom, France, United States",https://m.media-amazon.com/images/M/MV5BMjA5ODgyNzcxMV5BMl5BanBnXkFtZTgwMzkzOTYzMDE@._V1_SX300.jpg,,
Bears,2014,G,18 Apr 2014,78 min,"Documentary, Family","Alastair Fothergill, Keith Scholey, Adam Chapman","Alastair Fothergill, Adam Chapman, Pamela Ribon",John C. Reilly,A documentary that follows an Alaskan bear family as its young cubs are taught life's most important lessons.,English,United States,https://m.media-amazon.com/images/M/MV5BMjE2NTg1NzgyNl5BMl5BanBnXkFtZTgwMTM3MDYwMDE@._V1_SX300.jpg,,
The Hunger Games: Catching Fire,2013,PG-13,22 Nov 2013,146 min,"Action, Adventure, Sci-Fi",Francis Lawrence,"Simon Beaufoy, Michael Arndt, Suzanne Collins","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,English,United States,https://m.media-amazon.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_SX300.jpg,,
Addicted,2014,R,10 Oct 2014,106 min,"Drama, Romance, Thriller",Bille Woodruff,"Christina Welsh, Ernie Barbarash, Zane","Sharon Leal, Boris Kodjoe, John Newberg",A gallerist risks her family and flourishing career when she enters into an affair with a talented painter and slowly loses control of her life.,"English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BNjMzMTUyNzU3Nl5BMl5BanBnXkFtZTgwNjM5MjAwMjE@._V1_SX300.jpg,,
A Haunted House 2,2014,R,18 Apr 2014,86 min,"Comedy, Fantasy, Horror",Michael Tiddes,"Marlon Wayans, Rick Alvarez","Marlon Wayans, Jaime Pressly, Cedric the Entertainer","Having exorcised the demons of his ex, Malcolm is starting fresh with his new girlfriend and her two children. After moving into their dream home, however, Malcolm is once again plagued by bizarre paranormal events.",English,United States,https://m.media-amazon.com/images/M/MV5BMTQ4Njc2MTY4OF5BMl5BanBnXkFtZTgwNTQyNTg1MTE@._V1_SX300.jpg,,
A Most Wanted Man,2014,R,01 Aug 2014,122 min,"Crime, Drama, Thriller",Anton Corbijn,"Andrew Bovell, John le Carré, Stephen Cornwell","Philip Seymour Hoffman, Rachel McAdams, Daniel Brühl","A Chechen Muslim illegally immigrates to Hamburg, where he gets caught in the international war on terror.","English, Turkish, Arabic","United Kingdom, United States, Germany",https://m.media-amazon.com/images/M/MV5BODY2MTA0MjYzMl5BMl5BanBnXkFtZTgwOTE3NzE4MTE@._V1_SX300.jpg,,
Begin Again,2013,R,11 Jul 2014,104 min,"Comedy, Drama, Music",John Carney,John Carney,"Keira Knightley, Mark Ruffalo, Adam Levine","A chance encounter between a down-and-out music-business executive and a young singer-songwriter, new to Manhattan, turns into a promising collaboration between the two talents.",English,United States,https://m.media-amazon.com/images/M/MV5BNjAxMTI4MTgzMV5BMl5BanBnXkFtZTgwOTAwODEwMjE@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
Devil's Due,2014,R,17 Jan 2014,89 min,"Horror, Mystery","Matt Bettinelli-Olpin, Tyler Gillett",Lindsay Devlin,"Allison Miller, Zach Gilford, Sam Anderson","After a mysterious, lost night on their honeymoon, a newlywed couple finds themselves dealing with an earlier-than-planned pregnancy.","English, Spanish, Latin",United States,https://m.media-amazon.com/images/M/MV5BYTk5MjFmNzEtOWNlMi00ZWM4LTg0YTItMTA0ZWIzZWNmMDFiXkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_SX300.jpg,,
And So It Goes,2014,PG-13,25 Jul 2014,94 min,"Comedy, Drama, Romance",Rob Reiner,Mark Andrus,"Michael Douglas, Diane Keaton, Sterling Jerins",A self-absorbed realtor enlists the help of his neighbor when he's suddenly left in charge of the granddaughter he never knew existed until his estranged son drops her off at his home.,English,United States,https://m.media-amazon.com/images/M/MV5BMTUwNDAwODY2MF5BMl5BanBnXkFtZTgwMDI2MTUxMjE@._V1_SX300.jpg,,
The Woman in Black 2: Angel of Death,2014,PG-13,02 Jan 2015,98 min,"Drama, Horror, Thriller",Tom Harper,"Jon Croker, Susan Hill","Helen McCrory, Jeremy Irvine, Phoebe Fox","40 years after the first haunting at Eel Marsh House, a group of children evacuated from WWII London arrives, awakening the house's darkest inhabitant.",English,"United Kingdom, Canada",https://m.media-amazon.com/images/M/MV5BMTgxMjUyNTAxNF5BMl5BanBnXkFtZTgwNTk4MDUyMzE@._V1_SX300.jpg,,
Step Up All In,2014,PG-13,08 Aug 2014,112 min,"Drama, Music, Romance",Trish Sie,"Duane Adler, John Swetnam","Ryan Guzman, Briana Evigan, Adam Sevani","All-stars from the previous Step Up installments come together in glittering Las Vegas, battling for a victory that could define their dreams and their careers.",English,"United States, Canada",https://m.media-amazon.com/images/M/MV5BMTUzMjUyODA1Nl5BMl5BanBnXkFtZTgwMjIwNTQ5MTE@._V1_SX300.jpg,,
Beyond the Lights,2014,PG-13,14 Nov 2014,116 min,"Drama, Music, Romance",Gina Prince-Bythewood,Gina Prince-Bythewood,"Gugu Mbatha-Raw, Nate Parker, Minnie Driver","The pressures of fame have superstar singer Noni on the edge, until she meets Kaz, a young cop who works to help her find the courage to develop her own voice and break free to become the artist she was meant to be.",English,United States,https://m.media-amazon.com/images/M/MV5BMTkzNDA0NzY1Ml5BMl5BanBnXkFtZTgwMjEwMDkzMjE@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
,,,,,,,,,,,,,Movie not found!,
Left Behind,2014,PG-13,03 Oct 2014,110 min,"Action, Fantasy, Sci-Fi",Vic Armstrong,"Paul Lalonde, John Patus, Tim LaHaye","Nicolas Cage, Lea Thompson, Cassi Thomson",A small group of survivors are left behind after millions of people suddenly vanish and the world is plunged into chaos and destruction.,English,"United States, Canada",https://m.media-amazon.com/images/M/MV5BMjI4MjA2OTQxMF5BMl5BanBnXkFtZTgwMjcyMTI2MjE@._V1_SX300.jpg,,
Sin City: A Dame to Kill For,2014,R,22 Aug 2014,102 min,"Action, Crime, Thriller","Frank Miller, Robert Rodriguez",Frank Miller,"Mickey Rourke, Jessica Alba, Josh Brolin",Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,English,United States,https://m.media-amazon.com/images/M/MV5BMjA5ODYwNjgxMF5BMl5BanBnXkFtZTgwMTcwNzAyMjE@._V1_SX300.jpg,,
Labor Day,2013,PG-13,31 Jan 2014,111 min,"Drama, Romance, Thriller",Jason Reitman,"Jason Reitman, Joyce Maynard","Kate Winslet, Josh Brolin, Gattlin Griffith","Depressed single mom Adele and her son Henry offer a wounded, fearsome man a ride. As police search town for the escaped convict, the mother and son gradually learn his true story as their options become increasingly limited.",English,United States,https://m.media-amazon.com/images/M/MV5BMjMxODE0NTUxNV5BMl5BanBnXkFtZTgwNTkzNzY1MDE@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
Winter's Tale,2014,PG-13,14 Feb 2014,118 min,"Drama, Fantasy, Mystery",Akiva Goldsman,"Akiva Goldsman, Mark Helprin","Colin Farrell, Jessica Brown Findlay, Russell Crowe","A burglar falls for an heiress as she dies in his arms. When he learns that he has the gift of reincarnation, he sets out to save her.",English,United States,https://m.media-amazon.com/images/M/MV5BYTFmZDgwMDctYWI2ZS00MDhmLTg1ZDAtMGUzZjVmZTM3ZTM5XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,,
Dallas Buyers Club,2013,R,22 Nov 2013,117 min,"Biography, Drama",Jean-Marc Vallée,"Craig Borten, Melisa Wallack","Matthew McConaughey, Jennifer Garner, Jared Leto","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.","English, Japanese",United States,https://m.media-amazon.com/images/M/MV5BMTYwMTA4MzgyNF5BMl5BanBnXkFtZTgwMjEyMjE0MDE@._V1_SX300.jpg,,
Belle,2013,PG,13 Jun 2014,100 min,"Biography, Drama, Romance",Amma Asante,Misan Sagay,"Gugu Mbatha-Raw, Matthew Goode, Emily Watson","The biracial daughter, Dido Elizabeth Belle (Gugu Mbatha-Raw), of Royal Navy Captain Sir John Lindsay (Matthew Goode) is raised by aristocratic Great-uncle Lord William Murray, 1st Earl of Mansfield (Tom Wilkinson) in 18th century...",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BNzg5MjE5NjE4OV5BMl5BanBnXkFtZTgwNTU0ODM0MDE@._V1_SX300.jpg,,
The Drop,2014,R,12 Sep 2014,106 min,"Crime, Drama, Thriller",Michaël R. Roskam,Dennis Lehane,"Tom Hardy, Noomi Rapace, James Gandolfini","Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deeply into the neighborhood's past where friends, families, and foes all work together to make a living--no matter the c...","English, Russian",United States,https://m.media-amazon.com/images/M/MV5BMTkyNjMzODUzNV5BMl5BanBnXkFtZTgwNjIxNDI1MTE@._V1_SX300.jpg,,
Nebraska,2013,R,24 Jan 2014,115 min,"Adventure, Comedy, Drama",Alexander Payne,Bob Nelson,"Bruce Dern, Will Forte, June Squibb","An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BOGQzODdlMDktNzU4ZC00N2M3LWFkYTAtYTM1NTE0ZWI5YTg4XkEyXkFqcGdeQXVyMTA1NTM1NDI2._V1_SX300.jpg,,
Magic in the Moonlight,2014,PG-13,15 Aug 2014,97 min,"Comedy, Drama, Romance",Woody Allen,Woody Allen,"Colin Firth, Emma Stone, Marcia Gay Harden",A romantic comedy about an Englishman brought in to help unmask a possible swindle. Personal and professional complications ensue.,"English, French","United States, France",https://m.media-amazon.com/images/M/MV5BMTQ3NDY5NjIwN15BMl5BanBnXkFtZTgwNjQ2ODkxMjE@._V1_SX300.jpg,,
Sabotage,2014,R,28 Mar 2014,109 min,"Action, Crime, Drama",David Ayer,"Skip Woods, David Ayer","Arnold Schwarzenegger, Sam Worthington, Terrence Howard",Members of an elite DEA task force find themselves being taken down one by one after they rob a drug cartel safe house.,"English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BMTUxNjI4MjEyN15BMl5BanBnXkFtZTgwMDUxMDM4MDE@._V1_SX300.jpg,,
Moms' Night Out,2014,PG,09 May 2014,98 min,Comedy,"Andrew Erwin, Jon Erwin","Jon Erwin, Andrea Gyertson Nasfell","Sarah Drew, Sean Astin, Patricia Heaton","Hardworking mom Allyson has a crazy night out with her friends, while their husbands watch their children.",English,United States,https://m.media-amazon.com/images/M/MV5BMTgxMzgwMDM4OF5BMl5BanBnXkFtZTgwNjk4NjcyMTE@._V1_SX300.jpg,,
Big Eyes,2014,PG-13,25 Dec 2014,106 min,"Biography, Crime, Drama",Tim Burton,"Scott Alexander, Larry Karaszewski","Amy Adams, Christoph Waltz, Danny Huston","A drama about the awakening of painter Margaret Keane, her phenomenal success in the 1950s, and the subsequent legal difficulties she had with her husband, who claimed credit for her works in the 1960s.","English, French, Italian","United States, Canada",https://m.media-amazon.com/images/M/MV5BMjA2ODM5MDE3N15BMl5BanBnXkFtZTgwOTIxNjc1MzE@._V1_SX300.jpg,,
P.K. and the Kid,1987,PG-13,01 Jan 1987,89 min,Drama,Lou Lombardo,Neal Barbera,"Paul Le Mat, Molly Ringwald, Alex Rocco","P.K. runs away from home because her step-father keeps on harassing her sexually and her mother is ignoring the problem. She hides in the loading space of Kid Kane's pickup, who's on the way to the world championships in arm-press...",English,United States,https://m.media-amazon.com/images/M/MV5BZTZlZDVhYTYtNzMxNi00NmVkLWExMGMtM2ZkODEwMzdhMTVmXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,,
The Quiet Ones,2014,PG-13,25 Apr 2014,98 min,"Horror, Mystery, Thriller",John Pogue,"Craig Rosenberg, Oren Moverman, John Pogue","Jared Harris, Sam Claflin, Olivia Cooke","A university professor and a team of students conduct an experiment on a young woman, uncovering terrifyingly dark, unexpected forces in the process.",English,N/A,https://m.media-amazon.com/images/M/MV5BODViMmNiMjEtYjU1Yy00NjliLWFjZGYtM2FlZDI2YWQ0YmY2XkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
Island of Lemurs: Madagascar,2014,G,05 Sep 2014,39 min,"Documentary, Short, Adventure",David Douglas,Drew Fellman,"Patricia Wright, Morgan Freeman, Hantanirina Rasamimanana","A documentary that follows Dr. Patricia C. Wright's mission to help lemurs, the highly evolved creatures who arrived on Madagascar millions of years ago as castaways but are now highly endangered.",English,"Canada, United States, Madagascar",https://m.media-amazon.com/images/M/MV5BMTY2ODAwMzQxMV5BMl5BanBnXkFtZTgwOTY3MzA3MDE@._V1_SX300.jpg,,
Foxcatcher,2014,R,16 Jan 2015,134 min,"Biography, Drama, History",Bennett Miller,"E. Max Frye, Dan Futterman","Steve Carell, Channing Tatum, Mark Ruffalo","U.S. Olympic wrestling champions and brothers Mark Schultz and Dave Schultz join ""Team Foxcatcher"", led by eccentric multi-millionaire John du Pont, as they train for the 1988 Olympic Games in Seoul, South Korea, but John's self-d...","English, French",United States,https://m.media-amazon.com/images/M/MV5BMTQ2MjQxNjYxOV5BMl5BanBnXkFtZTgwMzIwODUxMzE@._V1_SX300.jpg,,
Vampire Academy,2014,PG-13,07 Feb 2014,104 min,"Action, Comedy, Drama",Mark Waters,"Daniel Waters, Richelle Mead","Zoey Deutch, Lucy Fry, Danila Kozlovskiy","Rose Hathaway is a Dhampir, half human-half vampire, a guardian of the Moroi, peaceful, mortal vampires living discreetly within our world. Her calling is to protect the Moroi from bloodthirsty, immortal Vampires, the Strigoi.","English, French","United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BM2E1YzA0NTItNTNjYS00OGUxLTg4ZWUtYmYyNDQwMGViZjJmXkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_SX300.jpg,,
Bad Words,2013,R,28 Mar 2014,89 min,"Comedy, Drama",Jason Bateman,Andrew Dodge,"Jason Bateman, Kathryn Hahn, Allison Janney",A spelling bee loser sets out to exact revenge by finding a loophole and attempting to win as an adult.,English,United States,https://m.media-amazon.com/images/M/MV5BN2M1MDljMmItMDE0ZS00OTQxLTkxNmQtMTgwZjk3NmM3MDc4XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,
Cantinflas,2014,PG,18 Sep 2014,102 min,"Biography, Comedy, Drama",Sebastian del Amo,"Edui Tijerina, Sebastian del Amo","Óscar Jaenada, Michael Imperioli, Ilse Salas","The untold story of Mexico's greatest and most beloved comedy film star of all time, from his humble origins on the small stage to the bright lights of Hollywood.","Spanish, English",Mexico,https://m.media-amazon.com/images/M/MV5BZGE2YTBiYWQtMzUyNC00ZjE5LTk0MzQtNGMyMmM4MGUxNGY0XkEyXkFqcGdeQXVyMjkxODAwMjI@._V1_SX300.jpg,,
Jerusalem,1996,PG-13,07 Mar 1997,168 min,Drama,Bille August,"Bille August, Selma Lagerlöf, Charlotte Lesche","Maria Bonnevie, Ulf Friberg, Pernilla August","The beginning of the 20th century. Gertrud and Ingmar are in love with each other. While Ingmar is away during the winter, a religious wave spreads in the area. Also Gertrud becomes a follower of the new Christian belief. The new ...","Swedish, English, Russian","Sweden, Denmark, Norway, Finland, Iceland",https://m.media-amazon.com/images/M/MV5BMTIxNDczMDMzNF5BMl5BanBnXkFtZTcwNzkwMTMyMQ@@._V1_SX300.jpg,,
